time,Area,down_north_MA,down_south_MA,net_north_MA,net_south_MA,up_north_MA,up_south_MA,UP_R1_N,UP_R2_N,UP_R1_S,UP_R2_S,DOWN_R1_N,DOWN_R2_N,DOWN_R1_S,DOWN_R2_S,d_North,d_South,dtheta_N,theta_mean_N,theta_day_N,theta_night_N,Aoval_N,dtheta_S,theta_mean_S,theta_day_S,theta_night_S,Aoval_S,open_areaN,theta_maxN,theta_minN,theta_noonN,theta_midnightN,open_areaS,theta_maxS,theta_minS,theta_noonS,theta_midnightS
2024-05-10 13:00:30,559.15394831949,1.0010993719624408,1.0601811032285038,-0.014554014780253982,0.014547118299717877,0.9865453571821877,1.0747282215282228,0.518991345861165,0.14195527831154278,0.5827866216509374,0.20836923591134088,-0.5897380462126773,-0.1537569752276424,-0.612257063642636,-0.21872203771398877,0.5919279338822955,0.5223613360370949,0.20278400428034277,19.51185081601836,22.214634820298702,16.809066811738017,0.3608280782878562,-0.011248892333690834,160.872519404913,158.3837682972467,163.3612705125793,0.34688296792931816,0.31362231734941115,21.0,0.0057296,13.0,21.0,0.28422780027143985,179.99,160.0,166.0,160.0
2024-05-10 13:01:00,559.15394831949,0.9215463464195567,0.9939619166149881,-0.020535437102240463,0.020844052224558304,0.9010109093173202,1.0148059688395388,0.5095031953083046,0.11065462379216798,0.5736992414282305,0.20469999261946278,-0.5663891428498137,-0.12476744856022277,-0.5940140505631721,-0.2145709525165904,0.5737238461410462,0.48635703774784117,-0.36984171608406846,19.01138260697811,21.141540890894042,16.881224323062177,0.3427233905587768,-0.37903335098735175,161.0071698631573,158.88620321414464,163.12813651216993,0.3420609494753407,0.30919022842256344,21.0,0.0057296,12.0,21.0,0.2823650254796009,179.99,160.0,166.0,160.0
2024-05-10 13:02:00,559.15394831949,0.9536343398969699,1.0439375413061769,-0.02714073147178306,0.02754301195092022,0.9264936084251787,1.0714805532570975,0.5519684168581063,0.06575916334302387,0.6215030777958531,0.19257222092638648,-0.5916044603051708,-0.08110952434573407,-0.6388998109758758,-0.20127685776367918,0.5369587689853995,0.4621491267309697,0.001530445638410249,17.949482238026814,20.451012683665223,15.447951792388405,0.3058113797177042,-1.6577018863423993,161.5819079807258,160.7396098670682,162.42420609438338,0.3218480411489702,0.3118822429525254,21.0,0.0057296,13.0,21.0,0.28167415806922513,179.99,160.0,166.0,160.0
2024-05-10 13:03:00,559.15394831949,0.9353110561242722,1.0075652688807069,-0.028231465350244383,0.028490093514639013,0.9070795907740259,1.0360553623953417,0.5674456463093712,0.028902836267844085,0.6103927026580955,0.1442213467513316,-0.6027065044830312,-0.033625865363185396,-0.6311833204450968,-0.1507263006513144,0.5139397008208314,0.46484180125794683,0.1862021289763047,17.069913575682012,19.756115704658317,14.383711446705707,0.2767913672395313,-3.048087680945412,162.0508537762692,162.5989414572146,161.5027660953238,0.3058000240375217,0.31428573022062367,21.0,0.0057296,13.0,21.0,0.2804703737963109,179.99,160.0,166.0,161.0
2024-05-10 13:04:00,559.15394831949,0.936528643283227,0.9786157113157249,-0.03074918288859177,0.030800955210743785,0.9057794603946375,1.0094166665264714,0.5964736255088531,0.01319312245271575,0.6175330202879786,0.09255437062275097,-0.6344667283382655,-0.016585392804680785,-0.6443426022649986,-0.09210356625232362,0.5101287562082495,0.4698069797142163,0.21915590827473777,16.10080492059924,18.819960828873977,13.381649012324504,0.246456321331747,-3.4708628405155495,162.41386722203367,163.3847300625492,161.44300438151814,0.29365206654256315,0.3154221635145438,21.0,0.0057296,13.0,21.0,0.2801809256695321,179.99,160.0,166.0,161.0
2024-05-10 13:05:00,559.15394831949,0.9733426809827006,1.0139797918792541,-0.029630852204069247,0.02954631677569097,0.943711828778633,1.0435261086549397,0.6377442727072234,0.0050239570074559585,0.6426898171511907,0.06482565202898576,-0.6796015174289132,-0.006213385504623065,-0.6749999398391425,-0.0493907284314347,0.5079902320115183,0.4949755734536594,0.08652344123853015,15.73521188461395,18.32173532585248,13.14868844337542,0.23546071358345352,-4.690630751022132,162.57796248704253,164.76859323806465,160.3873317360204,0.28823962601835995,0.31632492726131056,21.0,0.0057296,13.0,21.0,0.280738441416148,179.99,160.0,166.0,161.0
2024-05-10 13:06:00,559.15394831949,1.0261562665770423,1.0701990349450266,-0.03100963991519384,0.030896526263027167,0.9951466266618479,1.1010955612080442,0.6805053179527735,6.09755755834937e-05,0.6729497213279693,0.04974675086449843,-0.7273514269952146,-1.4282860346346938e-06,-0.7144994904313682,-0.026934680421172186,0.5079902320115183,0.4949755734536594,-2.393765268567588,15.543315179658014,15.649549911090427,15.4370804482256,0.22978772534017824,-4.6080509856689655,162.617002580488,164.72505356615696,160.50895159481902,0.2869591855342107,0.31789632097609466,22.0,0.0057296,13.0,22.0,0.2808838257892877,179.99,160.0,166.0,161.0
2024-05-10 13:07:00,559.15394831949,1.0740410912202794,1.1362355307793226,-0.03356661461147205,0.03340815488757324,1.0404744766088114,1.169643685666891,0.7211641118714603,0.0,0.713107409657276,0.06893876122560054,-0.7755457106518332,0.0,-0.7669558210582574,-0.026785643084355378,0.5079902320115183,0.49675290972623676,-2.1104338742594937,15.430359438258378,15.819925563998884,15.04079331251787,0.2264801908983828,-4.563468355556377,162.6117645294285,164.6752328849849,160.54829617387213,0.28713082191340766,0.31843142640372707,21.0,0.0057296,13.0,21.0,0.28237779877723634,179.99,160.0,165.0,161.0
2024-05-10 13:08:00,559.15394831949,1.1211038000157296,1.1906516967372212,-0.036194601715290924,0.036075863620950444,1.0849091983004426,1.2267275603581755,0.7561572899692033,0.0,0.7453836070015328,0.08537436773193262,-0.8083702743153073,0.0,-0.8049620655872605,-0.03182632181197887,0.5079902320115183,0.49675290972623676,-1.9270132012401273,15.26255162557271,15.835538424332583,14.689564826812838,0.22160996162332308,-9.099192947865616,162.54249418336173,169.14168713122734,155.9433012354961,0.28940533162790655,0.3202590100981245,21.0,0.0057296,13.0,21.0,0.28383831519887437,179.99,160.0,166.0,161.0
2024-05-10 13:09:00,559.15394831949,1.1695820908584709,1.2305534090579897,-0.038101413655128744,0.03803451507474582,1.1314806772033374,1.2685879241327371,0.7918314501640068,0.0,0.7728880690938399,0.08483487075189583,-0.8411158136466059,0.0,-0.8388900389914729,-0.01961623258186795,0.5079902320115183,0.49675290972623676,-1.3067096683470751,15.126980694991058,16.320271026643983,13.933690363338133,0.21771330235474015,-9.078296214746958,162.55702893286238,169.13532514760934,155.97873271811542,0.2889273529825273,0.3225090917231386,21.0,0.0057296,13.0,21.0,0.2869818768273464,179.99,160.0,166.0,161.0
2024-05-10 13:10:00,559.15394831949,1.211711080388294,1.2832256276563891,-0.03829304148878238,0.03833617307356819,1.1734180388995068,1.321561800729961,0.8222706747983521,0.0,0.8072962804603891,0.08784129163187711,-0.8706678594587736,0.0,-0.8814886461544698,-0.01300659517388604,0.505697459628214,0.4949755734536594,-1.1419317024755673,15.0,16.358068297524433,13.641931702475567,0.2140943476148109,-9.071679110072449,162.55176495880744,169.12344406887988,155.980085848735,0.28910041545087756,0.3244141828101119,21.0,0.0057296,14.0,21.0,0.2914746775069285,179.99,160.0,165.0,160.0
2024-05-10 13:11:00,559.15394831949,1.2398746534223666,1.3447319592154792,-0.039416088162844795,0.03957859696317937,1.2004585652595197,1.3843105561786702,0.8409556742227225,0.0,0.8388165275252641,0.10318943412887129,-0.8913522619771838,0.0,-0.9214097833989414,-0.01785072559009687,0.505697459628214,0.5196235454589325,-0.9239052701382214,15.015512201855117,16.591606931716896,13.439417471993337,0.2145348479684013,-9.084367025766973,162.51741081495052,169.1017778407175,155.93304378918356,0.2902311112666158,0.326308035211502,21.0,0.0057296,14.0,21.0,0.2878853374992524,179.99,160.0,165.0,161.0
2024-05-10 13:12:00,559.15394831949,1.3024149010932866,1.3991440343804038,-0.042750875706273575,0.042991523544550936,1.2596640253870122,1.4421355579249595,0.8791274281078525,0.0,0.8684441181621044,0.1289336315689167,-0.9423158309417987,0.0,-0.9699121413305863,-0.03183867421046049,0.505697459628214,0.5196235454589325,-0.9851445441993057,15.187307262484156,16.70216271828485,13.672451806683462,0.21944305181079757,-9.106020037705632,162.4179310378491,169.02395107555472,155.81191100014345,0.29351743410592174,0.3270101426919938,21.0,0.0057296,14.0,21.0,0.2887214744488501,179.99,160.0,165.0,161.0
2024-05-10 13:13:00,559.15394831949,1.3335815138143008,1.4907227430041017,-0.042863973505269735,0.04317985727532839,1.2907175403090312,1.5339026002794283,0.8965487464899993,0.0,0.9270419555795558,0.13769934160541836,-0.9687648222491757,-8.348479634576601e-05,-1.0431981220462747,-0.020260995023899303,0.4890837999187131,0.5206770268187978,-0.8293427776344433,15.382053459728644,17.0527106820942,13.711396237363086,0.2250728958037085,-9.152151137758294,162.37748137173548,169.02963250949378,155.7253302339772,0.29485885639092485,0.3279913548910067,21.0,0.0057296,14.0,21.0,0.2894239625491466,179.99,160.0,165.0,161.0
2024-05-10 13:14:00,559.15394831949,1.3822250378323206,1.566103712265984,-0.04550473318133503,0.04586152266865237,1.3367203046509835,1.61196523493464,0.9250826716170468,0.0,0.9613621150036393,0.18017367694348424,-0.9997939726647699,-0.004151032324726315,-1.0885649368767043,-0.045218261276197665,0.48908376941449666,0.5054375290774266,-1.4004253023360116,15.943217974592338,17.042792672256326,14.84364327692835,0.2416865578352995,-9.459483798929991,162.2481270488733,169.2076108478033,155.2886432499433,0.29916863214935746,0.3289271516872676,21.0,0.0057296,14.0,21.0,0.28976986679068545,179.99,161.0,165.0,161.0
2024-05-10 13:15:00,559.15394831949,1.4245559242057664,1.6344197499100381,-0.04884532752677575,0.04926166085874729,1.375710596678987,1.6836814107687783,0.9481326142078038,0.0,0.9930244949636383,0.22887683701041497,-1.0286986377859988,-0.007521795976771704,-1.1351510418708064,-0.07523826141193744,0.5101287584496726,0.5058307799569415,6.536425458636182,16.438382002527717,25.4748074611639,7.4019565438915365,0.2568275811822342,-9.516713768342678,162.15298315437073,169.1696969227134,155.13626938602806,0.30235806728093784,0.3296523536528636,21.0,0.0057296,14.0,21.0,0.2904721154969402,179.99,161.0,165.0,161.0
2024-05-10 13:16:00,559.15394831949,1.5119275056357642,1.6816824568507465,-0.054391939946803185,0.0548227749791399,1.4575355656889537,1.736505231829883,1.0083556641686808,0.0,1.053267103222957,0.21883278724409053,-1.0978899452321111,-0.009984337385859677,-1.207190569659859,-0.05565858132566357,0.5101287584496726,0.506066804659774,6.980321164424503,16.332892420842736,25.81321358526724,6.8525712564182335,0.25356417356518757,0.1916049252350408,162.0736826599346,159.38207773469955,164.76528758516966,0.3050289981496648,0.3241301194534615,21.0,0.0057296,14.0,20.0,0.2860221351817261,179.99,161.0,165.0,162.0
