time,ext,iaga,dBn,dBe,dBd
2024-05-10 14:16:00,60.0,T43,-8.771613,8.489746,-25.657997
2024-05-10 14:17:00,60.0,T43,-7.565514,8.536901,-25.723341
2024-05-10 14:18:00,60.0,T43,-7.735932,7.556265,-25.558647
2024-05-10 14:19:00,60.0,T43,-8.395961,9.085939,-25.550539
2024-05-10 14:20:00,60.0,T43,-8.268785,9.746546,-25.617033
2024-05-10 14:21:00,60.0,T43,-7.762561,9.333281,-25.74641
2024-05-10 14:22:00,60.0,T43,-7.553444,8.015646,-25.743431
2024-05-10 14:23:00,60.0,T43,-8.648327,7.878422,-25.420458
2024-05-10 14:24:00,60.0,T43,-10.76832,13.175446,-25.269745
2024-05-10 14:25:00,60.0,T43,-10.836227,12.577404,-25.545202
2024-05-10 14:26:00,60.0,T43,-10.953854,12.15379,-25.785984
2024-05-10 14:27:00,60.0,T43,-11.549254,14.215967,-25.741911
2024-05-10 14:28:00,60.0,T43,-12.927392,17.78204,-25.616194
2024-05-10 14:29:00,60.0,T43,-9.056971,21.489309,-25.96743
2024-05-10 14:30:00,60.0,T43,-0.992774,14.845135,-26.178553
2024-05-10 14:31:00,60.0,T43,4.439214,5.493092,-25.815788
2024-05-10 14:32:00,60.0,T43,6.408569,4.711983,-24.668354
2024-05-10 14:33:00,60.0,T43,1.018753,13.304083,-23.666067
2024-05-10 14:34:00,60.0,T43,6.131197,17.291235,-24.507862
2024-05-10 14:35:00,60.0,T43,11.332729,12.697498,-24.377453
2024-05-10 14:36:00,60.0,T43,13.892866,10.005217,-23.528736
2024-05-10 14:37:00,60.0,T43,16.338047,3.311794,-23.133739
2024-05-10 14:38:00,60.0,T43,16.289215,-3.177763,-22.871815
2024-05-10 14:39:00,60.0,T43,16.656567,-1.947813,-22.872013
2024-05-10 14:40:00,60.0,T43,15.30337,-2.68018,-22.9312
2024-05-10 14:41:00,60.0,T43,13.956382,1.897108,-22.990961
2024-05-10 14:42:00,60.0,T43,15.734344,1.564762,-23.535284
2024-05-10 14:43:00,60.0,T43,17.047579,-1.389626,-23.583874
2024-05-10 14:44:00,60.0,T43,19.940994,-5.421434,-23.773436
2024-05-10 14:45:00,60.0,T43,21.363148,-8.41267,-23.63542
2024-05-10 14:46:00,60.0,T43,22.922775,-9.648239,-23.388149
2024-05-10 14:47:00,60.0,T43,23.832073,-11.477093,-23.203693
2024-05-10 14:48:00,60.0,T43,21.316059,-11.169352,-22.867418
2024-05-10 14:49:00,60.0,T43,15.53016,-8.872746,-22.601528
2024-05-10 14:50:00,60.0,T43,9.738426,-5.035643,-22.910133
