cluster4 Created 2024-10-23 22:17:12.107020
Year Mo Dy Hr Mn Sc Msc X Y Z

#COORD
GSM

#START
2024      5     10     06     00     30    000   8.01  -9.42  -2.74
2024      5     10     06     01     30    000   8.01  -9.44  -2.72
2024      5     10     06     02     30    000   8.02  -9.46  -2.71
2024      5     10     06     03     30    000   8.02  -9.48  -2.69
2024      5     10     06     04     30    000   8.03  -9.50  -2.68
2024      5     10     06     05     30    000   8.03  -9.52  -2.67
2024      5     10     06     06     30    000   8.04  -9.53  -2.65
2024      5     10     06     07     30    000   8.04  -9.55  -2.64
2024      5     10     06     08     30    000   8.05  -9.57  -2.62
2024      5     10     06     09     30    000   8.05  -9.59  -2.61
2024      5     10     06     10     30    000   8.06  -9.61  -2.59
2024      5     10     06     11     30    000   8.06  -9.63  -2.58
2024      5     10     06     12     30    000   8.07  -9.65  -2.57
2024      5     10     06     13     30    000   8.07  -9.67  -2.55
2024      5     10     06     14     30    000   8.08  -9.69  -2.54
2024      5     10     06     15     30    000   8.08  -9.70  -2.52
2024      5     10     06     16     30    000   8.09  -9.72  -2.51
2024      5     10     06     17     30    000   8.09  -9.74  -2.49
2024      5     10     06     18     30    000   8.10  -9.76  -2.48
2024      5     10     06     19     30    000   8.10  -9.78  -2.47
2024      5     10     06     20     30    000   8.11  -9.80  -2.45
2024      5     10     06     21     30    000   8.11  -9.82  -2.44
2024      5     10     06     22     30    000   8.12  -9.83  -2.42
2024      5     10     06     23     30    000   8.12  -9.85  -2.41
2024      5     10     06     24     30    000   8.13  -9.87  -2.39
2024      5     10     06     25     30    000   8.13  -9.89  -2.38
2024      5     10     06     26     30    000   8.13  -9.91  -2.36
2024      5     10     06     27     30    000   8.14  -9.93  -2.35
2024      5     10     06     28     30    000   8.14  -9.94  -2.33
2024      5     10     06     29     30    000   8.15  -9.96  -2.32
2024      5     10     06     30     30    000   8.15  -9.98  -2.31
2024      5     10     06     31     30    000   8.16 -10.00  -2.29
2024      5     10     06     32     30    000   8.16 -10.02  -2.28
