year, month, day, hour, minute, second, I total up North [MA], I total down North [MA], I day up North [MA], I day down North [MA], I night up North [MA], I night down North [MA], I total up South [MA], I total down South [MA], I day up South [MA], I day down South [MA], I night up South [MA], I night down South [MA]
2024 05 11 01 20 00    25.20  -25.21   14.43  -14.57   10.77  -10.65   22.54  -23.68   11.28  -13.23   11.26  -10.45
2024 05 11 01 22 00    25.05  -25.42   14.55  -14.77   10.51  -10.65   23.38  -24.09   11.44  -13.01   11.93  -11.09
2024 05 11 01 24 00    26.20  -26.42   17.26  -17.36    8.95   -9.06   22.64  -23.58   10.75  -12.39   11.90  -11.19
2024 05 11 01 26 00    26.26  -26.35   16.96  -17.50    9.30   -8.85   23.40  -24.36   11.42  -13.13   11.98  -11.24
2024 05 11 01 28 00    29.10  -29.03   18.70  -19.05   10.39   -9.98   21.78  -22.81   10.41  -12.31   11.37  -10.50
2024 05 11 01 30 00    31.83  -31.56   20.00  -20.43   11.83  -11.13   21.89  -23.15   10.72  -12.71   11.17  -10.44
2024 05 11 01 32 00    30.06  -30.29   19.41  -19.89   10.66  -10.41   23.10  -24.03   11.41  -13.26   11.69  -10.76
2024 05 11 01 34 00    29.64  -29.62   18.60  -19.09   11.04  -10.54   22.87  -23.74   11.52  -13.21   11.35  -10.52
2024 05 11 01 36 00    28.37  -28.33   17.66  -18.23   10.71  -10.09   23.14  -23.72   12.00  -13.93   11.14   -9.80
2024 05 11 01 38 00    26.12  -26.21   14.94  -16.12   11.18  -10.09   23.35  -24.53   12.76  -15.00   10.59   -9.53
2024 05 11 01 40 00    26.86  -27.21   16.80  -18.00   10.06   -9.20   25.30  -26.50   14.38  -16.55   10.92   -9.96
2024 05 11 01 42 00    27.11  -27.66   16.47  -17.87   10.65   -9.79   23.67  -25.38   13.06  -15.19   10.61  -10.19
2024 05 11 01 44 00    27.77  -27.87   17.16  -18.22   10.61   -9.65   24.44  -26.71   13.87  -16.44   10.57  -10.28
2024 05 11 01 46 00    26.27  -26.87   16.67  -18.37    9.60   -8.49   25.44  -27.49   14.31  -17.38   11.13  -10.11
2024 05 11 01 48 00    25.93  -26.08   15.99  -17.61    9.94   -8.47   25.34  -27.17   14.29  -17.48   11.05   -9.69
2024 05 11 01 50 00    25.36  -25.65   15.64  -17.54    9.72   -8.10   22.98  -24.66   12.93  -16.30   10.05   -8.36
2024 05 11 01 52 00    25.52  -25.61   15.76  -17.82    9.76   -7.78   22.27  -23.83   12.13  -15.38   10.14   -8.44
2024 05 11 01 54 00    24.14  -24.23   14.99  -17.00    9.15   -7.23   22.79  -24.35   12.36  -15.43   10.42   -8.91
2024 05 11 01 56 00    26.50  -26.59   15.73  -17.74   10.76   -8.85   24.18  -25.58   12.83  -15.85   11.35   -9.73
2024 05 11 01 58 00    29.17  -28.83   17.89  -19.53   11.28   -9.30   22.93  -23.63   11.06  -13.96   11.87   -9.66
2024 05 11 02 00 00    31.05  -30.63   18.16  -19.59   12.89  -11.05   23.21  -23.69   10.35  -12.70   12.85  -10.99
2024 05 11 02 02 00    32.61  -32.33   17.00  -18.10   15.60  -14.23   24.01  -25.00   10.41  -13.02   13.61  -11.98
2024 05 11 02 04 00    31.46  -31.46   16.35  -17.36   15.11  -14.10   23.89  -24.47   10.39  -12.67   13.50  -11.80
2024 05 11 02 06 00    31.30  -31.44   16.29  -17.05   15.01  -14.40   23.96  -24.40   11.05  -13.04   12.92  -11.36
2024 05 11 02 08 00    28.67  -28.67   14.86  -15.33   13.80  -13.33   26.31  -26.90   12.71  -14.83   13.60  -12.07
2024 05 11 02 10 00    27.56  -27.66   15.64  -15.96   11.92  -11.70   27.71  -28.42   14.04  -15.60   13.67  -12.83
2024 05 11 02 12 00    27.38  -27.35   15.66  -15.36   11.71  -12.00   30.64  -31.04   16.29  -17.81   14.36  -13.22
2024 05 11 02 14 00    28.69  -28.66   16.43  -15.66   12.26  -12.99   29.77  -30.11   16.94  -18.20   12.83  -11.91
2024 05 11 02 16 00    28.67  -29.07   17.26  -16.17   11.40  -12.90   26.36  -26.45   14.19  -15.23   12.17  -11.22
2024 05 11 02 18 00    31.01  -31.52   19.04  -17.91   11.97  -13.61   25.64  -25.88   14.30  -15.05   11.34  -10.83
2024 05 11 02 20 00    28.20  -28.57   16.82  -15.66   11.38  -12.91   27.44  -27.84   15.75  -16.62   11.70  -11.21
2024 05 11 02 22 00    28.49  -28.60   16.37  -14.94   12.12  -13.65   24.77  -25.09   14.63  -15.11   10.13   -9.98
2024 05 11 02 24 00    28.53  -28.66   15.71  -14.56   12.82  -14.10   25.90  -26.06   16.28  -16.68    9.62   -9.39
2024 05 11 02 26 00    29.30  -29.02   16.99  -15.68   12.31  -13.34   25.25  -25.38   15.53  -15.94    9.72   -9.44
2024 05 11 02 28 00    29.01  -28.74   16.92  -15.46   12.09  -13.29   23.71  -23.60   15.02  -15.49    8.69   -8.11
2024 05 11 02 30 00    29.00  -28.88   16.14  -15.06   12.86  -13.82   20.66  -20.69   13.29  -13.86    7.37   -6.82
2024 05 11 02 32 00    28.07  -27.71   15.37  -14.39   12.69  -13.32   21.16  -21.03   12.72  -13.66    8.44   -7.37
2024 05 11 02 34 00    26.51  -26.18   14.20  -13.00   12.32  -13.18   21.31  -21.25   13.14  -14.24    8.17   -7.01
2024 05 11 02 36 00    27.48  -26.87   13.49  -12.19   13.99  -14.68   21.51  -21.13   12.60  -13.62    8.91   -7.51
2024 05 11 02 38 00    26.38  -25.95   13.13  -12.12   13.25  -13.82   21.74  -21.52   12.22  -13.41    9.52   -8.11
2024 05 11 02 40 00    27.63  -26.95   13.57  -12.59   14.06  -14.36   23.19  -22.68   13.19  -13.79   10.00   -8.90
2024 05 11 02 42 00    27.53  -27.18   13.14  -12.73   14.39  -14.45   23.55  -22.83   13.61  -13.75    9.94   -9.08
2024 05 11 02 44 00    27.77  -27.30   14.62  -14.11   13.15  -13.19   23.09  -22.48   13.13  -13.33    9.96   -9.15
