year, month, day, hour, minute, second, I total up North [MA], I total down North [MA], I day up North [MA], I day down North [MA], I night up North [MA], I night down North [MA], I total up South [MA], I total down South [MA], I day up South [MA], I day down South [MA], I night up South [MA], I night down South [MA]
2024 05 12 00 00 00     3.83   -4.05    2.82   -2.67    1.01   -1.38    2.22   -2.03    1.23   -1.30    0.98   -0.73
2024 05 12 00 02 00     3.94   -3.98    2.74   -2.50    1.21   -1.47    2.40   -2.03    1.40   -1.14    1.00   -0.89
2024 05 12 00 04 00     4.21   -4.33    2.80   -2.63    1.41   -1.70    2.57   -2.29    1.59   -1.30    0.98   -0.99
2024 05 12 00 06 00     4.45   -4.73    2.99   -2.89    1.46   -1.84    2.44   -2.20    1.44   -1.16    1.00   -1.04
2024 05 12 00 08 00     4.58   -5.00    3.14   -3.12    1.44   -1.88    2.87   -2.65    1.66   -1.35    1.21   -1.30
2024 05 12 00 10 00     4.73   -4.87    3.32   -3.16    1.42   -1.71    3.00   -3.05    1.80   -1.50    1.20   -1.55
2024 05 12 00 12 00     4.60   -5.01    3.26   -3.32    1.35   -1.69    2.51   -2.38    1.16   -0.94    1.35   -1.44
2024 05 12 00 14 00     4.44   -4.71    2.59   -2.70    1.85   -2.01    2.80   -2.66    1.30   -1.06    1.50   -1.60
2024 05 12 00 16 00     4.63   -4.74    2.96   -3.00    1.68   -1.74    3.01   -3.20    1.63   -1.50    1.38   -1.70
2024 05 12 00 18 00     4.50   -4.74    2.85   -3.08    1.66   -1.66    3.01   -2.90    1.41   -1.12    1.59   -1.78
2024 05 12 00 20 00     4.55   -4.82    2.95   -3.14    1.60   -1.68    3.08   -2.97    1.51   -1.17    1.57   -1.80
2024 05 12 00 22 00     4.61   -4.75    3.10   -3.04    1.52   -1.71    3.50   -3.36    1.68   -1.29    1.82   -2.08
2024 05 12 00 24 00     4.85   -5.04    2.89   -2.97    1.96   -2.07    3.87   -3.50    1.78   -1.35    2.09   -2.15
2024 05 12 00 26 00     4.68   -4.82    2.56   -2.68    2.12   -2.13    4.11   -3.99    1.91   -1.73    2.20   -2.26
2024 05 12 00 28 00     4.76   -4.69    2.65   -2.65    2.10   -2.04    3.66   -3.42    1.69   -1.56    1.96   -1.86
2024 05 12 00 30 00     5.02   -5.08    2.58   -2.64    2.44   -2.44    3.47   -3.19    1.58   -1.55    1.89   -1.64
2024 05 12 00 32 00     4.57   -4.62    2.54   -2.56    2.03   -2.06    3.28   -3.00    1.55   -1.52    1.73   -1.48
2024 05 12 00 34 00     4.53   -4.45    2.50   -2.51    2.03   -1.94    3.40   -3.16    1.33   -1.19    2.07   -1.98
2024 05 12 00 36 00     5.41   -5.64    3.16   -3.33    2.25   -2.31    3.72   -3.44    1.51   -1.47    2.21   -1.97
2024 05 12 00 38 00     5.80   -5.91    3.25   -3.37    2.55   -2.54    3.95   -3.68    1.56   -1.63    2.39   -2.05
2024 05 12 00 40 00     6.12   -6.37    3.31   -3.63    2.81   -2.74    4.08   -3.93    1.62   -1.58    2.46   -2.34
2024 05 12 00 42 00     6.48   -6.58    3.53   -3.54    2.95   -3.05    4.01   -3.69    1.58   -1.39    2.43   -2.30
2024 05 12 00 44 00     6.38   -6.67    3.67   -3.73    2.71   -2.94    3.97   -3.48    1.71   -1.66    2.26   -1.83
2024 05 12 00 46 00     5.96   -6.42    3.30   -3.34    2.66   -3.08    3.82   -3.35    1.67   -1.64    2.15   -1.71
2024 05 12 00 48 00     5.35   -5.76    3.28   -3.23    2.07   -2.53    3.42   -2.93    1.48   -1.36    1.94   -1.57
2024 05 12 00 50 00     5.47   -5.75    3.39   -3.23    2.07   -2.52    3.86   -3.12    1.70   -1.66    2.16   -1.46
2024 05 12 00 52 00     5.56   -5.98    3.46   -3.46    2.10   -2.52    3.92   -3.23    1.80   -1.79    2.12   -1.44
2024 05 12 00 54 00     4.92   -5.35    3.07   -3.00    1.86   -2.35    4.29   -3.79    2.11   -2.09    2.18   -1.70
