year, month, day, hour, minute, second, I total up North [MA], I total down North [MA], I day up North [MA], I day down North [MA], I night up North [MA], I night down North [MA], I total up South [MA], I total down South [MA], I day up South [MA], I day down South [MA], I night up South [MA], I night down South [MA]
2024 05 10 00 00 00     2.37   -2.15    1.74   -1.42    0.63   -0.73    1.61   -1.59    0.71   -0.75    0.90   -0.84
2024 05 10 00 02 00     2.39   -2.37    1.66   -1.50    0.73   -0.87    1.73   -1.63    0.80   -0.76    0.93   -0.86
2024 05 10 00 04 00     2.54   -2.45    1.85   -1.64    0.68   -0.81    1.81   -1.53    0.82   -0.72    0.99   -0.81
2024 05 10 00 06 00     2.70   -2.50    1.92   -1.63    0.78   -0.86    1.97   -1.67    0.80   -0.71    1.17   -0.96
2024 05 10 00 08 00     2.68   -2.54    2.02   -1.72    0.66   -0.82    1.75   -1.47    0.64   -0.55    1.10   -0.92
2024 05 10 00 10 00     2.60   -2.82    2.05   -1.84    0.55   -0.97    1.90   -1.70    0.71   -0.63    1.19   -1.07
2024 05 10 00 12 00     2.77   -3.10    1.85   -1.69    0.92   -1.41    1.98   -1.67    0.76   -0.65    1.22   -1.02
2024 05 10 00 14 00     2.63   -3.14    1.72   -1.75    0.92   -1.39    1.83   -1.56    0.72   -0.58    1.11   -0.98
2024 05 10 00 16 00     2.66   -3.06    1.70   -1.70    0.96   -1.37    1.83   -1.54    0.72   -0.56    1.11   -0.98
2024 05 10 00 18 00     2.65   -3.04    1.75   -1.75    0.90   -1.29    1.77   -1.35    0.63   -0.42    1.14   -0.93
2024 05 10 00 20 00     2.59   -2.92    1.64   -1.55    0.95   -1.37    1.82   -1.28    0.66   -0.35    1.17   -0.93
2024 05 10 00 22 00     2.33   -2.58    1.43   -1.29    0.90   -1.29    1.79   -1.36    0.67   -0.45    1.12   -0.90
2024 05 10 00 24 00     2.22   -2.36    1.44   -1.17    0.78   -1.19    1.80   -1.17    0.69   -0.34    1.11   -0.83
2024 05 10 00 26 00     2.70   -2.89    1.44   -1.22    1.26   -1.68    1.70   -1.25    0.57   -0.38    1.13   -0.87
