datetime,mlat,mlt,glat,glon,alt,Ex,pot,cpcp_kV,pass_id
2024-05-10 10:07:31,40.00116,17.574501,45.349834,113.28366,845.15094,-0.0010321534,-6.8063855292288125,32.0,N_770
2024-05-10 10:07:32,40.062313,17.573402,45.40579,113.255684,845.15094,-0.0011848062,-19.38656624280147,32.0,N_770
2024-05-10 10:07:33,40.12345,17.572296,45.46174,113.2347,845.15094,-0.0011662344,-32.597051153273085,32.0,N_770
2024-05-10 10:07:34,40.184578,17.571198,45.524685,113.21372,845.15094,-0.001143088,-45.52887774973212,32.0,N_770
2024-05-10 10:07:35,40.245693,17.570091,45.58064,113.185745,845.15094,-0.0011468825,-57.85541167340547,32.0,N_770
2024-05-10 10:07:36,40.3068,17.568977,45.636593,113.164764,845.15094,-0.0012927254,-71.00394463499043,32.0,N_770
2024-05-10 10:07:37,40.367893,17.567863,45.692547,113.143776,845.15094,-0.0012891004,-84.12848646601896,32.0,N_770
2024-05-10 10:07:38,40.428978,17.56675,45.748497,113.122795,845.15094,-0.0009408754,-95.01351879475908,32.0,N_770
2024-05-10 10:07:39,40.49005,17.565628,45.80445,113.101814,845.15094,-0.0012563663,-108.87515112446957,32.0,N_770
2024-05-10 10:07:40,40.551113,17.564507,45.867397,113.08083,845.15094,-0.0014087685,-123.3311959482784,32.0,N_770
2024-05-10 10:07:41,40.61216,17.563385,45.92335,113.05985,845.15094,-0.001397691,-138.40556934296674,32.0,N_770
2024-05-10 10:07:42,40.6732,17.562256,45.986298,113.031876,845.15094,-0.0013850125,-151.77938465992568,32.0,N_770
2024-05-10 10:07:43,40.734226,17.56112,46.035255,113.01089,845.15094,-0.0013828137,-166.17947443453403,32.0,N_770
2024-05-10 10:07:44,40.795246,17.559982,46.098206,112.98292,845.15094,-0.0013522555,-180.37865837752523,32.0,N_770
2024-05-10 10:07:45,40.85625,17.558846,46.154156,112.96193,845.14905,-0.001348402,-194.89693447707782,32.0,N_770
2024-05-10 10:07:46,40.917244,17.557701,46.217102,112.94095,845.15283,-0.0013281837,-207.83505861710194,32.0,N_770
2024-05-10 10:07:47,40.97823,17.556557,46.266064,112.91997,845.1565,-0.0013258045,-221.62705226044918,32.0,N_770
2024-05-10 10:07:48,41.0392,17.555412,46.32901,112.89899,845.1435,-0.0013055234,-236.58148571707807,32.0,N_770
2024-05-10 10:07:49,41.100163,17.55426,46.391956,112.87101,845.12317,-0.0012895357,-250.37255450737112,32.0,N_770
2024-05-10 10:07:50,41.16111,17.553108,46.44791,112.85003,845.1435,-0.0012707778,-263.3706749740294,32.0,N_770
2024-05-10 10:07:51,41.22205,17.551949,46.503864,112.82904,845.23615,-0.0012739473,-276.3878639808198,32.0,N_770
2024-05-10 10:07:52,41.282978,17.550789,46.559814,112.80806,845.338,-0.0012551213,-290.4055869382181,32.0,N_770
2024-05-10 10:07:53,41.343895,17.549622,46.62276,112.78008,845.3657,-0.0012316711,-303.82124713038326,32.0,N_770
2024-05-10 10:07:54,41.4048,17.548454,46.678715,112.7591,845.3472,-0.0012200887,-316.4903722495164,32.0,N_770
2024-05-10 10:07:55,41.465694,17.547287,46.73467,112.73812,845.3398,-0.0012084686,-329.26997260284094,32.0,N_770
2024-05-10 10:07:56,41.526577,17.546112,46.790623,112.710144,845.3454,-0.0011968118,-341.8957142083483,32.0,N_770
2024-05-10 10:07:57,41.587452,17.544937,46.846573,112.68916,845.3472,-0.0011851138,-354.337441559656,32.0,N_770
2024-05-10 10:07:58,41.64831,17.543755,46.902527,112.66818,845.3472,-0.0013384057,-368.7748492674139,32.0,N_770
2024-05-10 10:07:59,41.70916,17.542572,46.965473,112.647194,845.3454,-0.0013251695,-383.86082140351107,32.0,N_770
2024-05-10 10:08:00,41.77,17.54139,47.02842,112.61922,845.3454,-0.0011435455,-396.87804707654345,32.0,N_770
2024-05-10 10:08:01,41.830746,17.54023,47.084373,112.59125,845.3454,-0.0013073958,-410.2102717889246,32.0,N_770
2024-05-10 10:08:02,41.891483,17.53907,47.140327,112.57026,845.3454,-0.0014570953,-424.39495870325055,32.0,N_770
2024-05-10 10:08:03,41.952213,17.537895,47.19628,112.54928,845.3454,-0.0011120334,-436.3625286568606,32.0,N_770
2024-05-10 10:08:04,42.01293,17.536728,47.25223,112.5283,845.3454,-0.001261828,-450.41597556325155,32.0,N_770
2024-05-10 10:08:05,42.073647,17.535553,47.315178,112.50032,845.3454,-0.0012483399,-463.9281137373056,32.0,N_770
2024-05-10 10:08:06,42.13435,17.53437,47.37113,112.47934,845.3454,-0.0012364379,-475.9742340584585,32.0,N_770
2024-05-10 10:08:07,42.195045,17.533188,47.42009,112.45136,845.3454,-0.0013925235,-489.28491242953214,32.0,N_770
2024-05-10 10:08:08,42.255733,17.531998,47.476044,112.43038,845.3454,-0.0013806986,-504.0177973765342,32.0,N_770
